Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
produto-1,PRODUTO 1,"",elizabethgarciastore,,,"",false,Title,Default Title,,,,,"",0.0,shopify,0,deny,manual,0.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,,draft
afiador-e-amolador-de-facas-eletrico-pilha-max-grinder,Afiador e Amolador de Facas Elétrico (Pilha) - Max Grinder,"<p>Este <strong>Afiador e Amolador Elétrico</strong> dará uma nova vida aos seus utensílios! <br> <meta charset=""utf-8""> Equipado com uma pedra de afiar de alta velocidade e classe profissional, o <strong>Amolador Elétrico - Max Grinder</strong> restaura a lâmina em apenas alguns segundos, de facas a tesouras e pequenas ferramentas manuais.</p>
<div style=""text-align: left;"" class=""tlid-results-container results-container"" data-mce-style=""text-align: center;""><a title=""Afiador e Amolador de Facas Elétrico (Pilha) - Max Grinder"" href=""https://viegaro.com/products/afiador-e-amolador-de-facas-eletrico""><img style=""float: none;"" height=""480x480"" width=""480x480"" src=""https://cdn.shopify.com/s/files/1/0453/9770/4859/files/unknown_480x480.jpg?v=1622129871"" alt=""Afiador e Amolador de Facas Elétrico (Pilha) - Max Grinder""></a></div>
<div>
<div><br></div>
<div><strong><span>CARACTERÍSTICAS DO PRODUTO:</span></strong></div>
<ul style=""text-align: center;"" data-mce-style=""text-align: center;"">
<li style=""text-align: left;"" data-mce-style=""text-align: left;"">
<b>Material: </b>ABS</li>
<li style=""text-align: left;"" data-mce-style=""text-align: left;"">
<b>Cor:</b> Verde</li>
<li style=""text-align: left;"" data-mce-style=""text-align: left;"">
<b>Tamanho: </b>14 cm x 8.7 cm x 6.5 cm</li>
<li style=""text-align: left;"" data-mce-style=""text-align: left;"">
<strong>Fonte de alimentação: </strong>4 pilhas AA (não incluídas)</li>
</ul>
<div style=""text-align: start;""> <a title=""Afiador e Amolador de Facas Elétrico (Pilha) - Max Grinder"" href=""https://viegaro.com/products/afiador-e-amolador-de-facas-eletrico""><img style=""float: none;"" height=""480x480"" width=""480x480"" src=""https://cdn.shopify.com/s/files/1/0280/6176/1610/files/2_480x480.jpg?v=1577517364"" alt=""Afiador e Amolador de Facas Elétrico (Pilha) - Max Grinder""></a><a href=""https://viegaro.com/products/afiador-e-amolador-de-facas-eletrico""> </a>
</div>
<p><strong>O PACOTE CONTÉM:</strong></p>
<ul>
<li>
<p>1x Amolador Elétrico</p>
</li>
</ul>
<p><meta charset=""utf-8""><strong>OBS: o afiador funciona no aperto do botão! Se parar de apertar o botão, ele desliga!</strong></p>
</div>",Viegaro,,Casa e Cozinha,"Afiador, Afiador de facas, Amolador, Amolador de facas, Casa e Cozinha",true,Title,Default Title,,,,,21526810,500000.0,,0,deny,manual,18.88,25.29,true,true,,https://cdn.shopify.com/s/files/1/0556/1794/5654/products/viegaro-afiador-e-amolador-de-facas-eletrico-pilha-max-grinder-casa-e-cozinha-31820224299163.jpg?v=1646174572,1,,false,,,,,,,,,,,,,,,,,g,,,active
afiador-e-amolador-de-facas-eletrico-pilha-max-grinder,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0556/1794/5654/products/viegaro-afiador-e-amolador-de-facas-eletrico-pilha-max-grinder-casa-e-cozinha-31799367860379.jpg?v=1646174572,2,,,,,,,,,,,,,,,,,,,,,,
afiador-e-amolador-de-facas-eletrico-pilha-max-grinder,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0556/1794/5654/products/viegaro-afiador-e-amolador-de-facas-eletrico-pilha-max-grinder-casa-e-cozinha-31799320281243.jpg?v=1646174572,3,,,,,,,,,,,,,,,,,,,,,,
alca-de-alongamento-fisioterapica,Alça de Alongamento Fisioterápica,"<meta charset=""UTF-8"">
<h3 data-mce-fragment=""1"" data-mce-style=""text-align: center;"">Apenas 30 minutos por dia diminua dores, lesões e tensões musculares com esta Alça de Alongamento Fisioterápica.</h3>
<div style=""text-align: start;""><a href=""https://viegaro.com/products/alca-de-alongamento-fisioterapica"" title=""Alça de Alongamento Fisioterápica""><img style=""float: none;"" alt=""Alça de Alongamento Fisioterápica"" src=""https://cdn.shopify.com/s/files/1/0453/9770/4859/files/1_8f2e57c6-a52c-49cd-9891-11a8e50dd89d_480x480.png?v=1623805296""></a></div>
<div style=""text-align: start;"">
<meta charset=""UTF-8"">
<div data-mce-fragment=""1""><b data-mce-fragment=""1"">ALONGUE E RENOVE SUA SAÚDE </b></div>
<div data-mce-fragment=""1""><b data-mce-fragment=""1""><br></b></div>
<div data-mce-fragment=""1""><b>Exercite 30 minutos diários você terá diversos benefícios:</b></div>
<div data-mce-fragment=""1"">
<span data-mce-fragment=""1"">• R</span><span data-mce-fragment=""1"">elaxamento do seu corpo e mente;</span>
</div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1"">• Melhora sua qualidade de vida;</span></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1"">•Reduz a chance de lesões musculares e na coluna;</span></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1"">•Corrige a postura;</span></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1"">•Alivia as dores e tensões nas costas, pescoço e cabeça;</span></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1"">•Diminui o número de cãibras;</span></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1"">•Ativa a circulação sanguínea.</span></div>
</div>
<div style=""text-align: start;""><a href=""https://viegaro.com/products/alca-de-alongamento-fisioterapica"" title=""Alça de Alongamento Fisioterápica""><img src=""https://img.staticdj.com/9ad840d0274294d6415125068c0caee0.gif"" alt=""Alça de Alongamento Fisioterápica"" style=""float: none;""></a></div>
<div style=""text-align: start;"">
<meta charset=""UTF-8"">
<div style=""text-align: left;"" data-mce-fragment=""1""><b data-mce-fragment=""1"">FEITA<span> </span>PARA PESSOAS INICIANTES OU COM DIFICULDADE DE MOBILIDADE!</b></div>
<div style=""text-align: left;"" data-mce-fragment=""1""><b data-mce-fragment=""1""><br></b></div>
<div style=""text-align: left;"" data-mce-fragment=""1"">
<b data-mce-fragment=""1""> </b>Recomendada por especialistas, s<span style=""font-weight: 400;"" data-mce-fragment=""1"">eu design elaborado<span> </span>para<span> </span>pessoas com<span> </span>dificuldades para se alongar, ou que precisam<span> </span><strong>do auxílio de alguém.</strong> Mas também é indicado e recomendado para atletas, bailarinos, praticantes de yoga, pilates, musculação, etc.</span>
</div>
<div style=""text-align: left;"" data-mce-fragment=""1""><a href=""https://viegaro.com/products/alca-de-alongamento-fisioterapica"" title=""Alça de Alongamento Fisioterápica""><span style=""font-weight: 400;"" data-mce-fragment=""1""><img alt=""Alça de Alongamento Fisioterápica"" src=""https://cdn.shopify.com/s/files/1/0453/9770/4859/files/1_8ab88b46-f682-4f5e-80ef-cc8ddc3f50a6_480x480.png?v=1623805661""></span></a></div>
<div style=""text-align: left;"" data-mce-fragment=""1"">
<div><b>AUXILIA NO TRATAMENTO DE DIVERSOS PROBLEMAS</b></div>
<div><span>Problemas de postura, na coluna, pernas, quadril, ascite plantar, tendões de Aquiles tensos, tendinopatia de Aquiles, dor miofascial etc.</span></div>
<div>
<p style=""text-align: left;""><b>Problemas graves são causados pela falta de alongamento diário!</b></p>
<p style=""text-align: left;"">A tensão muscular entra em um modo rígido e curto, causando falta de amplitude de movimento, causando <strong>dores</strong> e <strong>lesões constantes</strong>.</p>
<p style=""text-align: left;""><b>O QUE FAZER:<span> </span></b>Havendo o<span style=""font-weight: 400;""> hábito saudável de fazer uso da <strong>Alça de Alongamento</strong> por 30 minutos diários, seus problemas podem sumir rapidamente. São apenas 30 minutos por dia para viver uma vida saudável e sem dores. </span></p>
<p style=""text-align: left;""><a href=""https://viegaro.com/products/alca-de-alongamento-fisioterapica"" title=""Alça de Alongamento Fisioterápica""><span style=""font-weight: 400;""><img alt=""Alça de Alongamento Fisioterápica"" src=""https://cdn.shopify.com/s/files/1/0453/9770/4859/files/1_64eabf72-77be-4041-8329-1e2705b5b301_480x480.jpg?v=1623806154""></span></a></p>
</div>
</div>
<div style=""text-align: center;"" data-mce-fragment=""1"">
<b data-mce-fragment=""1""></b>
<div style=""text-align: center;"" data-mce-fragment=""1"">
<meta charset=""UTF-8"">
<div style=""text-align: left;"" data-mce-fragment=""1""><b data-mce-fragment=""1"">FEITO PARA TRABALHAR A MUSCULATURA DO CORPO INTEIRO!</b></div>
<div style=""text-align: left;"" data-mce-fragment=""1"">
<b data-mce-fragment=""1""></b><span style=""font-weight: 400;"" data-mce-fragment=""1"">Você consegue alongar desde os pés até os braços, envolvendo movimento de todo corpo. Todo o auxilio é necessário para uma vida com o alongamento foi pensado e implementado na <strong>Alça de Alongamento Fisioterápica</strong>.  </span>
</div>
<div style=""text-align: left;"" data-mce-fragment=""1"">
<p> <br></p>
<p><b>DESIGN SUPER EXCLUSIVO</b></p>
<p><span style=""font-weight: 400;"">Feita de Material MultiLoop, é fabricada com reforço e trabalhada a mão. A Cinta Fisioterápica é feita de algodão e poliéster exclusivo. Seu material é resistente e respirável, ajudando na transpiração durante os exercícios e feito para suportar o uso extenso e intenso.</span></p>
<h3 style=""text-align: center;"">FAQ - Perguntas Frequentes</h3>
<p><b>1 - </b><b data-mce-fragment=""1""><span>Qual o tamanho? Quantos KG ela aguenta?</span></b></p>
<p><span style=""font-weight: 400;"">Aproximadamente 1m73cm, tem 8 alças, cada uma com 22cm e ela aguenta até 145kg.</span></p>
<p><b>2 - Serve para qualquer altura? </b></p>
<p>Sim, o tamanho da Cinta é ajustável, então, independente da sua altura, há fivela de regulagem.</p>
<p><b>3 - O tecido é resistente?</b></p>
<p>A Cinta é feita com material de algodão poliéster exclusivo. A base é resistente e respirável, ajudando na transpiração durante os exercícios e é construída para suportar o uso extenso e intenso.</p>
<p><b data-mce-fragment=""1"">4 -</b><b>Quais modos de alongamento?</b></p>
<p><span style=""font-weight: 400;"">Alongamento da fáscia plantar, pé, panturrilha, quadríceps, quadril, lombar, glúteos, entre outros grupos e regiões musculares.</span></p>
<p><b data-mce-fragment=""1"">4 - É lavável?</b><br></p>
<p><span style=""font-weight: 400;"">Sim, ela é lavável.  (Lavar à mão).</span></p>
</div>
</div>
</div>
</div>",Viegaro,,Cuidados com o Corpo,"Cuidados com o Corpo, Fisioterapia",true,Title,Default Title,,,,,27135454,500000.0,,0,deny,manual,26.24,36.97,true,true,,https://cdn.shopify.com/s/files/1/0556/1794/5654/products/viegaro-alca-de-alongamento-fisioterapica-cuidados-com-o-corpo-31121702781083.png?v=1646174575,1,,false,,,,,,,,,,,,,,,,,g,,,active
alca-de-alongamento-fisioterapica,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0556/1794/5654/products/viegaro-alca-de-alongamento-fisioterapica-cuidados-com-o-corpo-31121702748315.jpg?v=1646174575,2,,,,,,,,,,,,,,,,,,,,,,
alca-de-alongamento-fisioterapica,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0556/1794/5654/products/viegaro-alca-de-alongamento-fisioterapica-cuidados-com-o-corpo-31121702551707.jpg?v=1646174575,3,,,,,,,,,,,,,,,,,,,,,,
alongador-vertebral-e-massageador-de-lombar-colunapro,Alongador Vertebral e Massageador de Lombar - ColunaPro,"<meta charset=""utf-8"">
<p data-mce-style=""text-align: left;"">Você sente dores nas costas todos os dias?</p>
<p data-mce-style=""text-align: left;"">Dê um fim a isso com <strong>Alongador Vertebral e Massageador de Lombar - ColunaPro</strong></p>
<div style=""text-align: left;""><strong data-mce-fragment=""1""><a title=""Alongador Vertebral e Massageador de Lombar - ColunaPro"" href=""https://viegaro.com/products/colunapro-alongador-vertebral-e-massageador-de-lombar?_pos=1&amp;_sid=4388863a1&amp;_ss=r""><img style=""float: none;"" alt=""Alongador Vertebral e Massageador de Lombar - ColunaPro"" src=""https://elegancehomestore.com/wp-content/uploads/2021/03/Animated_GIF-downsized_large_16_large.gif""></a></strong></div>
<strong data-mce-fragment=""1""><a title=""Alongador Vertebral e Massageador de Lombar - ColunaPro"" href=""https://viegaro.com/products/colunapro-alongador-vertebral-e-massageador-de-lombar?_pos=1&amp;_sid=4388863a1&amp;_ss=r""> </a></strong>
<p> Se a sua coluna está com os discos desgastados ou comprimidos isso provavelmente deve estar te <strong data-mce-fragment=""1"">causando dores nas costas e lombar, flexibilidade reduzida e dificuldade para realizar certas atividades</strong>.</p>
<p data-mce-fragment=""1"">O aparelho de alongamento e descompressão<span data-mce-fragment=""1""> <strong>ColunaPro</strong></span><b data-mce-fragment=""1""> </b>foi projetado para corrigir esse problema alinhando e descomprimindo os discos da coluna,<span data-mce-fragment=""1""> </span><strong data-mce-fragment=""1"">aliviando as dores nas costas</strong>, melhorando a flexibilidade dos músculos vertebrais e estimulando a circulação para regeneração dos discos.</p>
<p data-mce-fragment=""1""><a title=""Alongador Vertebral e Massageador de Lombar - ColunaPro"" href=""https://viegaro.com/products/colunapro-alongador-vertebral-e-massageador-de-lombar?_pos=1&amp;_sid=4388863a1&amp;_ss=r""><img src=""https://cdn.shopify.com/s/files/1/0453/9770/4859/files/descompressor-coluna-lombar2_480x480_10fead38-1174-4f73-a170-f89ecce3d229_480x480.jpg?v=1623188757"" alt=""Alongador Vertebral e Massageador de Lombar - ColunaPro""></a> </p>
<div style=""text-align: start;"" data-mce-style=""text-align: start;"">
<p data-mce-fragment=""1""><strong>BENEFÍCIOS:</strong></p>
<ul>
<li>Combate as dores nas costas alongando a coluna e reduzindo a pressão nos discos vertebrais; </li>
<li>Melhora a circulação sanguínea hidratando a região e auxiliando na regeneração dos discos vertebrais afetados; </li>
<li>Combate a rigidez e melhora a flexibilidade, relaxando os ligamentos e músculos que sustentam a coluna vertebral;</li>
<li>Reduz a dor ciática e nas pernas descomprimindo a coluna vertebral para aliviar a pressão no nervo ciático;</li>
</ul>
<p><strong>MODO DE USAR: </strong></p>
<ol data-mce-fragment=""1"">
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">Fixe o no chão, cadeira ou poltrona;</span></li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">Ajuste o nível de acordo com sua necessidade (recomendamos que aumente gradativamente);</span></li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span>Deite-se ou encoste-se no alongador;</li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">Use-o duas vezes ao dia de 5 a 10 minutos e desfrute dos resultados;</span></li>
</ol>
<p><span data-mce-fragment=""1""><a title=""Alongador Vertebral e Massageador de Lombar - ColunaPro"" href=""https://viegaro.com/products/colunapro-alongador-vertebral-e-massageador-de-lombar?_pos=1&amp;_sid=4388863a1&amp;_ss=r""><img src=""https://cdn.shopify.com/s/files/1/0453/9770/4859/files/back-stretching-device-site-06_large_ee65c211-1efe-4961-9da6-94589ca86cf1_480x480.jpg?v=1623188829"" alt=""Alongador Vertebral e Massageador de Lombar - ColunaPro""></a></span></p>
<p data-mce-fragment=""1""><strong>CARACTERÍSTICAS DO APARELHO:</strong></p>
<ul>
<li>Possui 3 níveis de ajuste para que se alinhe a sua necessidade;<br>
</li>
<li>Forte e durável, suportando até 200 quilos;<br>
</li>
<li>Portátil, leve na mochila ou na mala para o trabalho, academia e viagens;<br>
</li>
<li>Versátil, use na cadeira do escritório, no sofá, no carro ou no chão da sua casa;<br>
</li>
</ul>
<p data-mce-fragment=""1""><a title=""Alongador Vertebral e Massageador de Lombar - ColunaPro"" href=""https://viegaro.com/products/colunapro-alongador-vertebral-e-massageador-de-lombar?_pos=1&amp;_sid=4388863a1&amp;_ss=r""><img src=""https://cdn.shopify.com/s/files/1/0453/9770/4859/files/mb1_large_480x480_f208647e-f0f9-4e6f-837b-634c7d64f7d6_480x480.png?v=1623188869"" alt=""Alongador Vertebral e Massageador de Lombar - ColunaPro""></a></p>
</div>",Viegaro,,Cuidados com o Corpo,Saúde e Beleza,true,Cor,Azul,,,,,27389824,500000.0,,0,deny,manual,44.76,55.87,true,true,,https://cdn.shopify.com/s/files/1/0556/1794/5654/products/viegaro-colunapro-alongador-vertebral-e-massageador-de-lombar-saude-e-beleza-29155703980187.jpg?v=1646174579,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0556/1794/5654/products/viegaro-colunapro-alongador-vertebral-e-massageador-de-lombar-saude-e-beleza-29155668656283.jpg?v=1646174579,g,,,active
alongador-vertebral-e-massageador-de-lombar-colunapro,,,,,,,,,Verde,,,,,22412821,500000.0,,0,deny,manual,44.76,55.87,true,true,,https://cdn.shopify.com/s/files/1/0556/1794/5654/products/viegaro-colunapro-alongador-vertebral-e-massageador-de-lombar-saude-e-beleza-29155668656283.jpg?v=1646174579,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0556/1794/5654/products/viegaro-colunapro-alongador-vertebral-e-massageador-de-lombar-saude-e-beleza-30677772796059.jpg?v=1646174579,g,,,
alongador-vertebral-e-massageador-de-lombar-colunapro,,,,,,,,,Roxo,,,,,26186116,500000.0,,0,deny,manual,44.76,55.87,true,true,,https://cdn.shopify.com/s/files/1/0556/1794/5654/products/viegaro-colunapro-alongador-vertebral-e-massageador-de-lombar-saude-e-beleza-29155746447515.jpg?v=1646174579,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0556/1794/5654/products/viegaro-colunapro-alongador-vertebral-e-massageador-de-lombar-saude-e-beleza-29155746447515.jpg?v=1646174579,g,,,
